## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_03/bowtie/SRR6130428/SRR6130428-x-soapk63ctgs.bowtie.insertsize.hist.pdf DEVIATIONS=25.0 INPUT=/home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_03/bowtie/SRR6130428/SRR6130428-x-soapk63ctgs.bowtie.sorted.bam OUTPUT=/home/jj/Desktop/Bioinformatics/3rd_year/1term/Computational_genomics/Seminars/exercise_03/bowtie/SRR6130428/SRR6130428-x-soapk63ctgs.bowtie.insertsize_stats.txt ASSUME_SORTED=true    MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 31 10:41:43 CET 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
369	361	48	34	1130658	372.8103	75.751227	2487591	FR	19	37	55	75	97	121	151	187	245	303	431			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
34	1
35	1
38	1
39	2
40	1
41	2
42	2
43	3
44	2
45	3
46	3
47	3
48	2
49	4
50	2
51	2
52	1
53	2
56	1
57	3
58	5
60	1
61	2
62	5
63	1
64	1
65	5
66	2
67	5
68	3
69	3
70	6
71	2
72	3
73	2
74	2
75	6
76	5
77	7
78	3
79	2
80	3
81	4
82	5
83	10
84	6
85	9
86	5
87	3
88	4
89	3
90	8
91	5
92	7
93	5
94	6
95	9
96	10
97	12
98	13
99	10
100	21
101	109
102	56
103	83
104	59
105	55
106	68
107	58
108	48
109	56
110	62
111	55
112	55
113	73
114	45
115	67
116	48
117	65
118	64
119	76
120	77
121	66
122	61
123	77
124	73
125	72
126	62
127	78
128	64
129	75
130	76
131	100
132	74
133	80
134	87
135	99
136	110
137	104
138	121
139	103
140	85
141	95
142	116
143	125
144	105
145	108
146	120
147	128
148	119
149	155
150	144
151	127
152	155
153	181
154	167
155	184
156	173
157	178
158	169
159	181
160	178
161	197
162	214
163	220
164	216
165	203
166	213
167	276
168	247
169	281
170	259
171	266
172	308
173	284
174	308
175	332
176	318
177	356
178	344
179	350
180	363
181	385
182	399
183	369
184	398
185	444
186	435
187	435
188	489
189	551
190	537
191	525
192	563
193	616
194	549
195	626
196	601
197	666
198	664
199	674
200	686
201	736
202	720
203	746
204	836
205	790
206	901
207	912
208	915
209	977
210	979
211	991
212	1037
213	1071
214	1084
215	1156
216	1212
217	1251
218	1200
219	1274
220	1283
221	1420
222	1394
223	1470
224	1434
225	1543
226	1540
227	1667
228	1707
229	1651
230	1807
231	1817
232	1848
233	1989
234	1980
235	2075
236	2003
237	2100
238	2186
239	2205
240	2229
241	2398
242	2448
243	2492
244	2561
245	2632
246	2636
247	2768
248	2893
249	2950
250	3059
251	3091
252	3171
253	3140
254	3422
255	3415
256	3298
257	3558
258	3734
259	3898
260	3867
261	3943
262	4103
263	4213
264	4198
265	4512
266	4337
267	4653
268	4791
269	4898
270	4912
271	5018
272	5177
273	5120
274	5366
275	5411
276	5543
277	5835
278	5775
279	5978
280	6006
281	6398
282	6213
283	6328
284	6650
285	6640
286	6751
287	6923
288	7111
289	7173
290	7266
291	7354
292	7560
293	7863
294	7797
295	8068
296	8229
297	8238
298	8354
299	8505
300	8659
301	9071
302	9038
303	9038
304	9299
305	9545
306	9615
307	9735
308	9801
309	9959
310	10123
311	10256
312	10468
313	10625
314	10474
315	10813
316	10926
317	11033
318	11297
319	11132
320	11359
321	11645
322	11833
323	11867
324	12067
325	12161
326	12297
327	12270
328	12583
329	12551
330	12601
331	12897
332	12940
333	13168
334	13479
335	13010
336	13256
337	13067
338	13508
339	13700
340	13471
341	13872
342	13737
343	13977
344	13977
345	14056
346	13866
347	13876
348	14266
349	14342
350	14030
351	14199
352	14371
353	14285
354	14303
355	14268
356	14466
357	14226
358	14311
359	14224
360	13895
361	14548
362	14222
363	14190
364	14436
365	14187
366	13902
367	14379
368	14287
369	14114
370	14203
371	13976
372	14298
373	13910
374	14054
375	13969
376	13901
377	14028
378	13624
379	13596
380	13419
381	13705
382	13463
383	13428
384	13415
385	13166
386	13318
387	13011
388	13006
389	12885
390	12901
391	12827
392	12597
393	12568
394	12496
395	12326
396	12336
397	12423
398	11914
399	12144
400	11994
401	11833
402	11562
403	11863
404	11493
405	11670
406	11222
407	11062
408	11155
409	10968
410	11049
411	10901
412	10812
413	10885
414	10495
415	10513
416	10266
417	10215
418	9953
419	9962
420	9733
421	9980
422	9469
423	9506
424	9246
425	9271
426	9187
427	8814
428	9001
429	8952
430	8637
431	8651
432	8420
433	8263
434	8307
435	8210
436	8041
437	7904
438	7819
439	7860
440	7885
441	7561
442	7564
443	7293
444	7251
445	7232
446	7198
447	6972
448	6722
449	6722
450	6759
451	6705
452	6562
453	6467
454	6334
455	6197
456	6223
457	6024
458	5871
459	5853
460	5827
461	5826
462	5563
463	5436
464	5651
465	5570
466	5350
467	5169
468	5137
469	5186
470	5131
471	4969
472	4862
473	4896
474	4620
475	4648
476	4462
477	4575
478	4428
479	4260
480	4283
481	4212
482	4303
483	4068
484	3913
485	3974
486	3858
487	3792
488	3621
489	3697
490	3697
491	3702
492	3525
493	3495
494	3179
495	3347
496	3261
497	3330
498	3077
499	3018
500	3102
501	2479
502	2436
503	2402
504	2367
505	2470
506	2255
507	2313
508	2173
509	2218
510	2061
511	2075
512	2043
513	2049
514	2024
515	1952
516	1891
517	1926
518	1866
519	1842
520	1692
521	1666
522	1738
523	1606
524	1656
525	1613
526	1520
527	1529
528	1470
529	1568
530	1475
531	1454
532	1364
533	1351
534	1295
535	1347
536	1350
537	1300
538	1197
539	1142
540	1117
541	1122
542	1186
543	1101
544	1071
545	1090
546	1146
547	1278
548	959
549	1120
550	1120
551	995
552	864
553	936
554	909
555	888
556	848
557	807
558	828
559	750
560	821
561	774
562	788
563	699
564	747
565	689
566	671
567	681
568	671
569	649
570	690
571	646
572	596
573	577
574	604
575	623
576	527
577	532
578	546
579	507
580	481
581	515
582	477
583	446
584	468
585	437
586	460
587	402
588	441
589	430
590	427
591	401
592	380
593	422
594	344
595	388
596	358
597	340
598	337
599	311
600	276
601	200
602	273
603	269
604	312
605	336
606	290
607	290
608	261
609	272
610	271
611	246
612	243
613	229
614	247
615	253
616	232
617	217
618	207
619	210
620	208
621	219
622	189
623	191
624	175
625	176
626	180
627	182
628	185
629	176
630	180
631	184
632	142
633	125
634	162
635	144
636	153
637	160
638	140
639	138
640	141
641	129
642	115
643	109
644	124
645	125
646	109
647	108
648	101
649	100
650	89
651	107
652	106
653	88
654	98
655	88
656	93
657	87
658	72
659	96
660	78
661	62
662	71
663	59
664	78
665	57
666	70
667	61
668	70
669	57
670	67
671	63
672	58
673	67
674	56
675	45
676	70
677	51
678	62
679	52
680	51
681	53
682	47
683	43
684	47
685	36
686	31
687	35
688	36
689	32
690	36
691	35
692	36
693	33
694	36
695	33
696	29
697	23
698	33
699	36
700	34
701	32
702	37
703	23
704	25
705	31
706	25
707	23
708	19
709	24
710	17
711	34
712	21
713	21
714	27
715	20
716	31
717	18
718	9
719	20
720	17
721	8
722	20
723	17
724	13
725	18
726	12
727	17
728	16
729	9
730	19
731	14
732	12
733	13
734	12
735	14
736	9
737	14
738	14
739	12
740	16
741	13
742	3
743	12
744	9
745	4
746	9
747	6
748	8
749	8
750	9
751	8
752	8
753	10
754	7
755	7
756	7
757	8
758	4
759	9
760	6
761	8
762	8
763	13
764	7
765	6
766	6
767	8
768	4
769	5
770	5
771	9
772	4
773	4
774	1
775	5
776	5
777	3
778	2
779	4
780	3
781	2
782	2
783	2
784	4
785	4
786	5
787	2
788	1
789	4
790	6
791	5
792	6
793	4
794	2
795	4
796	6
797	4
799	4
800	3
803	2
804	3
805	1
807	2
808	2
810	3
811	2
812	1
813	3
814	1
815	1
816	2
817	2
818	3
820	2
821	2
822	2
823	1
824	3
825	2
826	3
827	1
828	2
831	1
832	5
833	4
834	3
835	3
836	1
837	3
838	3
839	1
841	1
845	1
847	1
848	4
849	1
851	1
856	1
857	4
860	1
862	1
863	1
864	1
866	1
871	1
882	1
885	1
887	2
891	1
893	1
894	1
905	1
906	2
907	1
909	1
917	2
939	1
960	1
969	1
986	1
991	1
1036	1
1068	1
1173	1
1186	1
1398	1
1401	1
1410	4
1417	1
1423	1
1426	1
1428	1
1448	1
1456	1
1460	1
1476	2
1479	1
1487	1
1489	1
1507	1
1508	1
1513	1
1522	1
1526	2
1527	3
1538	1
1540	1
1544	1

